cost_axis,n,median_cov,mean_cov,max_cov
payload,4,0.009844,0.047557,0.167073
input,30,0.019145,0.036918,0.103847
output,10,0.033194,0.038533,0.070566
cached-context,9,0.047201,0.057128,0.156111
turns,8,0.061782,0.080569,0.191771
thinking,6,0.146129,0.152450,0.201436
