task_id,band,model_role,n_off,n_on,cov_output_off,cov_output_on,cov_rel_reduction,mean_off,mean_on,mean_delta_pct,h5_output_win
4,S,haiku,20,20,0.0,0.0,,7,7,0.0,False
4,S,opus,20,20,0.0,0.0,,8,8,0.0,False
4,S,sonnet,20,20,0.0,0.0,,7,7,0.0,False
6,S,haiku,20,20,0.13807997502440705,0.0491899769097817,0.6437573449655762,258.7,90.55,-64.99806725937378,True
6,S,opus,20,20,0.06544811960253472,0.018208702289442297,0.7217841795910497,331.85,142.85,-56.95344282055146,True
6,S,sonnet,20,20,0.05167499273093961,0.04037963147964099,0.21858467034743662,331.7,94.55,-71.49532710280373,False
9,S,haiku,20,20,0.06677450151805292,0.06894727748618171,-0.032539006937271756,411.55,967,134.96537480257564,False
9,S,opus,20,20,0.07454197087709484,0.023674044327752167,0.6824065147568201,1109.9,1664.95,50.00900982070456,False
9,S,sonnet,20,20,0.0847159658316851,0.036246493263229033,0.5721409428862076,1014.8,1033.75,1.8673630271974817,False
